id,source,collection_method,user_text,normalized_text,intent_expected,constraints,difficulty,category,expected_behavior,expected_not_to_do,actual_behavior,status,notes,conversation_id,turn_id,source_url
QS-0001,synthetic,web_pattern_paraphrase,"Ngày nào cũng nghĩ hôm nay ăn gì mệt quá, gợi ý đại vài món đi","ngay nao cung nghi hom nay an gi met qua, goi y dai vai mon di",meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,pattern: hôm nay ăn gì / gợi ý theo thời tiết,,,https://voz.vn/t/hom-nay-an-gi.106718/
QS-0002,synthetic,web_pattern_paraphrase,"Ở ký túc xá ăn cơm bụi hoài ngán, có món nào rẻ mà đủ chất không","o ky tuc xa an com bui hoai ngan, co mon nao re ma du chat khong",meal_plan,budget=student;context=dorm,medium,budget_student,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,pattern: sinh viên/KTX/cơm bụi/ngán/đủ dinh dưỡng,,,https://voz.vn/t/suot-ngay-an-com-bui-sinh-vien-o-ky-tuc-xa-them-khat-com-nha.655269/
QS-0003,synthetic,web_pattern_paraphrase,"Dân văn phòng ăn ngoài nhiều dầu mỡ quá, trưa nay nên ăn gì healthy hơn","dan van phong an ngoai nhieu dau mo qua, trua nay nen an gi healthy hon",meal_plan,meal=lunch;avoid=oily;goal=healthy,medium,office_healthy,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,pattern: văn phòng/ăn ngoài/dầu mỡ/dinh dưỡng,,,https://voz.vn/t/do-an-ben-fitfood-co-phu-hop-cho-dan-van-phong-khong-cac-thim.771680/
QS-0004,synthetic,web_pattern_paraphrase,Có thực đơn nào dưới 50k cho hôm nay không,co thuc don nao duoi 50k cho hom nay khong,meal_plan,budget<=50000,easy,budget,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,pattern: thực đơn dưới 50k,,,https://store.longphuong.vn/hom-nay-an-gi/
QS-0005,synthetic,web_pattern_paraphrase,Mưa lạnh thì ăn món gì ấm bụng mà không mắc,mua lanh thi an mon gi am bung ma khong mac,meal_plan,weather=rainy_cold;budget=cheap,medium,weather,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,pattern: ngày mưa/lạnh,,,https://store.longphuong.vn/hom-nay-an-gi/
QS-0006,synthetic,web_pattern_paraphrase,Muốn eat clean với ức gà nhưng đừng nhàm chán quá,muon eat clean voi uc ga nhung dung nham chan qua,meal_plan,ingredient=chicken_breast;goal=eat_clean,medium,goal_health,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,pattern: eat clean ức gà,,,https://www.bachhoaxanh.com/kinh-nghiem-hay/thuc-don-eat-clean-7-ngay-voi-uc-ga-giam-can-khoa-hoc-khong-nham-chan-1583923
QS-0007,synthetic,web_pattern_paraphrase,Gợi ý món giảm cân với ức gà dễ làm tại nhà,goi y mon giam can voi uc ga de lam tai nha,meal_plan,ingredient=chicken_breast;goal=weight_loss;time=simple,easy,goal_health,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,pattern: ức gà giảm cân,,,https://suckhoedoisong.vn/5-mon-an-giam-can-tu-uc-ga-vua-ngon-vua-de-lam-169251029212937667.htm
QS-0008,synthetic,web_pattern_paraphrase,Bữa sáng với yến mạch có món nào dễ ăn không,bua sang voi yen mach co mon nao de an khong,meal_plan,meal=breakfast;ingredient=oats,easy,ingredient,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,pattern: yến mạch bữa sáng,,,https://nhathuoclongchau.com.vn/bai-viet/chi-tiet-thuc-don-giam-can-bang-yen-mach-trong-1-tuan.html
QS-0009,synthetic,web_pattern_paraphrase,Có món salad eat clean nào cho người mới bắt đầu không,co mon salad eat clean nao cho nguoi moi bat dau khong,recipe_search,dish=salad;goal=eat_clean,medium,recipe_search,"Trả công thức/cách nấu/món liên quan nguyên liệu; nêu bước ngắn gọn, thời gian và biến thể nếu có.",Không route nhầm thành meal_plan chung; không bỏ qua nguyên liệu/món user nêu.,,,pattern: salad eat clean,,,https://youmed.vn/tin-tuc/salad-eat-clean/
QS-0010,synthetic,web_pattern_paraphrase,Công thức salad bơ ức gà làm nhanh cho 1 người,cong thuc salad bo uc ga lam nhanh cho 1 nguoi,recipe_search,dish=salad avocado chicken breast;serving=1;time=quick,easy,recipe_search,"Trả công thức/cách nấu/món liên quan nguyên liệu; nêu bước ngắn gọn, thời gian và biến thể nếu có.",Không route nhầm thành meal_plan chung; không bỏ qua nguyên liệu/món user nêu.,,,pattern: salad bơ ức gà,,,https://cookpad.com/vn/tim-kiem/salad%20b%C6%A1%20g%C3%A0
